fc_oper;channel;amount;operations_number;category_name
190101;Offline;14013.98;106;Mantenimiento y Reparaciones Auto
190101;Online;30343.54;1607;Gaming
190101;Offline;319937.82;19080;Supermercados y Pequeño Comercio
190101;Online;24172.25;2395;Contenidos digitales y media
190101;Online;27734.58;315;Mantenimiento y Reparaciones Auto
190101;Online;148174.66;810;Alojamiento
190101;Online;241669.44;7069;Supermercados y Pequeño Comercio
190101;Offline;27120.73;2233;Contenidos digitales y media
190101;Offline;7501.26;429;Tabaco, Alcohol y Otros
190101;Offline;1881634.58;9202;Alojamiento
190101;Online;7179.29;119;Peluquería y Barbería
190101;Online;20340.51;407;Combustible y Recarga
190101;Offline;243701.27;10391;Bar y Discotecas
190101;Offline;64150.05;3801;Gaming
190101;Online;383.03;6;Tabaco, Alcohol y Otros
190101;Offline;1455330.89;44909;Combustible y Recarga
190101;Online;23354.05;407;Farmacias, Ópticas y Ortopedias
190101;Online;3798.30;43;Bar y Discotecas
190101;Online;55086.55;2456;Restaurantes y Cafeterías
190101;Offline;115438.90;6510;Farmacias, Ópticas y Ortopedias
190101;Offline;12950.75;184;Bricolaje y Jardinería
190101;Offline;3972788.74;75292;Restaurantes y Cafeterías
190101;Offline;5230.09;110;Peluquería y Barbería
190101;Online;17758.87;167;Bricolaje y Jardinería
190102;Offline;26842.93;2288;Contenidos digitales y media
190102;Online;89295.15;816;Mantenimiento y Reparaciones Auto
190102;Online;25965.09;605;Combustible y Recarga
190102;Offline;1260070.34;20512;Bricolaje y Jardinería
190102;Online;22268.56;1893;Contenidos digitales y media
190102;Offline;1355237.47;9090;Mantenimiento y Reparaciones Auto
190102;Offline;2838781.48;75143;Combustible y Recarga
190102;Offline;64950.72;1506;Bar y Discotecas
190102;Online;275163.60;1391;Alojamiento
190102;Offline;9719008.58;310583;Supermercados y Pequeño Comercio
190102;Offline;1600367.68;8191;Alojamiento
190102;Online;49117.29;809;Farmacias, Ópticas y Ortopedias
190102;Offline;235994.69;5845;Gaming
190102;Online;4815.14;82;Bar y Discotecas
190102;Online;33866.29;1555;Gaming
190102;Online;2948676.57;71593;Supermercados y Pequeño Comercio
190102;Offline;965782.58;38071;Farmacias, Ópticas y Ortopedias
190102;Online;70738.62;487;Bricolaje y Jardinería
190102;Offline;417577.12;17038;Tabaco, Alcohol y Otros
190102;Online;20906.83;355;Peluquería y Barbería
190102;Online;2582.68;17;Tabaco, Alcohol y Otros
190102;Offline;634539.30;13376;Peluquería y Barbería
190102;Offline;2702954.75;100846;Restaurantes y Cafeterías
190102;Online;42231.98;1412;Restaurantes y Cafeterías
190103;Offline;23484.49;2000;Contenidos digitales y media
190103;Offline;1588061.64;9811;Mantenimiento y Reparaciones Auto
190103;Online;27404.63;1410;Gaming
190103;Offline;3124852.98;115436;Restaurantes y Cafeterías
190103;Online;20334.02;1812;Contenidos digitales y media
190103;Online;78442.65;702;Mantenimiento y Reparaciones Auto
190103;Offline;237893.22;6070;Gaming
190103;Offline;377725.70;15474;Tabaco, Alcohol y Otros
190103;Online;27323.21;582;Combustible y Recarga
190103;Online;2410949.36;62096;Supermercados y Pequeño Comercio
190103;Offline;1059284.69;7454;Alojamiento
190103;Offline;937069.69;36306;Farmacias, Ópticas y Ortopedias
190103;Offline;2688110.90;71648;Combustible y Recarga
190103;Online;43029.13;1482;Restaurantes y Cafeterías
190103;Online;287133.88;1442;Alojamiento
190103;Offline;9842060.00;311318;Supermercados y Pequeño Comercio
190103;Offline;781390.98;17027;Peluquería y Barbería
190103;Online;4036.86;12;Tabaco, Alcohol y Otros
190103;Offline;1157525.23;19485;Bricolaje y Jardinería
190103;Online;41306.19;702;Farmacias, Ópticas y Ortopedias
190103;Online;3500.57;73;Bar y Discotecas
190103;Online;15573.55;232;Peluquería y Barbería
190103;Online;51569.12;418;Bricolaje y Jardinería
190103;Offline;69702.36;1814;Bar y Discotecas
190104;Offline;23361.20;1895;Contenidos digitales y media
190104;Offline;2069466.27;11530;Mantenimiento y Reparaciones Auto
190104;Online;264749.33;1367;Alojamiento
190104;Online;37415.07;393;Bricolaje y Jardinería
190104;Online;20561.84;1938;Contenidos digitales y media
190104;Online;71561.45;591;Mantenimiento y Reparaciones Auto
190104;Offline;1218079.23;7908;Alojamiento
190104;Offline;1204175.30;20687;Bricolaje y Jardinería
190104;Offline;2839686.88;76960;Combustible y Recarga
190104;Online;1689504.18;44168;Supermercados y Pequeño Comercio
190104;Offline;241293.86;6332;Gaming
190104;Offline;927942.43;21602;Peluquería y Barbería
190104;Online;38580.33;884;Combustible y Recarga
190104;Online;4214.64;71;Bar y Discotecas
190104;Online;24028.35;1327;Gaming
190104;Offline;12300075.14;366318;Supermercados y Pequeño Comercio
190104;Online;32707.61;534;Farmacias, Ópticas y Ortopedias
190104;Offline;81791.64;2679;Bar y Discotecas
190104;Offline;426017.92;17409;Tabaco, Alcohol y Otros
190104;Offline;949502.91;37118;Farmacias, Ópticas y Ortopedias
190104;Online;1381.11;13;Tabaco, Alcohol y Otros
190104;Online;11979.62;178;Peluquería y Barbería
190104;Online;54273.48;1985;Restaurantes y Cafeterías
190104;Offline;3882459.25;135748;Restaurantes y Cafeterías
190105;Online;19310.11;1930;Contenidos digitales y media
190105;Offline;487233.25;4255;Mantenimiento y Reparaciones Auto
190105;Online;188755.48;1021;Alojamiento
190105;Offline;373217.12;15446;Tabaco, Alcohol y Otros
190105;Offline;23587.84;1886;Contenidos digitales y media
190105;Online;36306.25;375;Mantenimiento y Reparaciones Auto
190105;Offline;976923.28;6809;Alojamiento
190105;Online;505.89;7;Tabaco, Alcohol y Otros
190105;Online;20388.79;488;Combustible y Recarga
190105;Online;724300.98;20788;Supermercados y Pequeño Comercio
190105;Offline;215199.02;6133;Gaming
190105;Offline;545181.92;14111;Peluquería y Barbería
190105;Offline;2141020.86;63265;Combustible y Recarga
190105;Online;56768.78;1872;Restaurantes y Cafeterías
190105;Online;25618.00;1352;Gaming
190105;Offline;14119311.63;431123;Supermercados y Pequeño Comercio
190105;Online;21263.68;378;Farmacias, Ópticas y Ortopedias
190105;Offline;4943133.35;140926;Restaurantes y Cafeterías
190105;Online;3510.59;63;Bar y Discotecas
190105;Offline;695231.22;28187;Farmacias, Ópticas y Ortopedias
190105;Offline;911922.40;18005;Bricolaje y Jardinería
190105;Online;13897.27;182;Peluquería y Barbería
190105;Offline;127832.04;6350;Bar y Discotecas
190105;Online;23657.06;229;Bricolaje y Jardinería
190106;Online;21435.00;2051;Contenidos digitales y media
190106;Online;29587.12;375;Mantenimiento y Reparaciones Auto
190106;Offline;100836.49;4509;Gaming
190106;Online;21958.86;202;Bricolaje y Jardinería
190106;Offline;22628.59;1926;Contenidos digitales y media
190106;Offline;10425.55;215;Mantenimiento y Reparaciones Auto
190106;Online;41753.89;2009;Gaming
190106;Offline;19334.06;540;Bricolaje y Jardinería
190106;Online;19280.53;468;Combustible y Recarga
190106;Offline;992796.04;48054;Supermercados y Pequeño Comercio
190106;Offline;752085.95;5540;Alojamiento
190106;Online;25847.15;453;Farmacias, Ópticas y Ortopedias
190106;Offline;1668118.28;52545;Combustible y Recarga
190106;Offline;166751.26;9659;Bar y Discotecas
190106;Online;166199.90;888;Alojamiento
190106;Online;351907.97;11486;Supermercados y Pequeño Comercio
190106;Online;7024.91;118;Peluquería y Barbería
190106;Online;3535.04;52;Bar y Discotecas
190106;Online;582.75;10;Tabaco, Alcohol y Otros
190106;Offline;8909.45;232;Peluquería y Barbería
190106;Online;50766.83;2122;Restaurantes y Cafeterías
190106;Offline;144037.64;7596;Farmacias, Ópticas y Ortopedias
190106;Offline;37313.18;1962;Tabaco, Alcohol y Otros
190106;Offline;4416042.76;94290;Restaurantes y Cafeterías
190107;Online;20569.75;1700;Contenidos digitales y media
190107;Online;88370.41;781;Mantenimiento y Reparaciones Auto
190107;Online;35824.99;1651;Gaming
190107;Online;38183.39;1533;Restaurantes y Cafeterías
190107;Offline;23566.06;1911;Contenidos digitales y media
190107;Offline;1032065.52;6198;Mantenimiento y Reparaciones Auto
190107;Online;251429.79;1144;Alojamiento
190107;Offline;324601.26;14464;Tabaco, Alcohol y Otros
190107;Offline;2658815.85;72046;Combustible y Recarga
190107;Offline;7496130.26;262891;Supermercados y Pequeño Comercio
190107;Offline;130273.57;4642;Gaming
190107;Offline;295845.61;6582;Peluquería y Barbería
190107;Online;35835.75;845;Combustible y Recarga
190107;Offline;2175545.57;92585;Restaurantes y Cafeterías
190107;Offline;685745.30;5243;Alojamiento
190107;Online;1966399.54;53621;Supermercados y Pequeño Comercio
190107;Offline;682004.85;29446;Farmacias, Ópticas y Ortopedias
190107;Online;2355.85;14;Tabaco, Alcohol y Otros
190107;Offline;54937.30;1687;Bar y Discotecas
190107;Online;48339.83;789;Farmacias, Ópticas y Ortopedias
190107;Online;5349.93;50;Bar y Discotecas
190107;Online;12256.28;180;Peluquería y Barbería
190107;Online;55759.06;456;Bricolaje y Jardinería
190107;Offline;906984.53;14384;Bricolaje y Jardinería
190108;Offline;22868.40;1864;Contenidos digitales y media
190108;Offline;1502148.29;8553;Mantenimiento y Reparaciones Auto
190108;Offline;616686.30;5477;Alojamiento
190108;Online;62610.62;476;Bricolaje y Jardinería
190108;Online;17923.96;1490;Contenidos digitales y media
190108;Online;100605.53;838;Mantenimiento y Reparaciones Auto
190108;Online;264184.39;1221;Alojamiento
190108;Offline;39374.87;1138;Bar y Discotecas
190108;Offline;2691447.26;71272;Combustible y Recarga
190108;Offline;9071744.66;314142;Supermercados y Pequeño Comercio
190108;Online;29987.63;1331;Gaming
190108;Online;53085.15;866;Farmacias, Ópticas y Ortopedias
190108;Online;26020.29;565;Combustible y Recarga
190108;Online;2969.63;41;Bar y Discotecas
190108;Offline;87416.06;3621;Gaming
190108;Online;2001487.60;52927;Supermercados y Pequeño Comercio
190108;Offline;591667.78;13184;Peluquería y Barbería
190108;Offline;1086198.84;16906;Bricolaje y Jardinería
190108;Offline;372165.93;15994;Tabaco, Alcohol y Otros
190108;Offline;884991.05;36154;Farmacias, Ópticas y Ortopedias
190108;Online;1687.13;13;Tabaco, Alcohol y Otros
190108;Online;17250.18;192;Peluquería y Barbería
190108;Online;36726.92;1275;Restaurantes y Cafeterías
190108;Offline;1837891.88;95158;Restaurantes y Cafeterías
190109;Online;19357.66;1596;Contenidos digitales y media
190109;Online;96813.53;838;Mantenimiento y Reparaciones Auto
190109;Offline;80953.82;3451;Gaming
